ID_DN,CITY,ENT_TYPE,AGE,LEGAL_GENDER,CAPITAL_AMOUNT,TOTAL_OF_LABORS,MA_NGANH,TienTT_2015,ThuNH_2015,HangTon_2015,TSCoDinh_2015,NoNgan_2015,NoDai_2015,VonCSH_2015,DTThuan_2015,GiaVon_2015,DThuTC_2015,LNThuan_2015,TongLN_2015,LNsauthue_2015,TienTT_2016,ThuNH_2016,HangTon_2016,TSCoDinh_2016,NoNgan_2016,NoDai_2016,VonCSH_2016,DTThuan_2016,GiaVon_2016,DThuTC_2016,LNThuan_2016,TongLN_2016,LNsauthue_2016,TienTT_2017,ThuNH_2017,HangTon_2017,TSCoDinh_2017,NoNgan_2017,NoDai_2017,VonCSH_2017,DTThuan_2017,GiaVon_2017,DThuTC_2017,LNThuan_2017,TongLN_2017,LNsauthue_2017,TienTT_2018,ThuNH_2018,HangTon_2018,TSCoDinh_2018,NoNgan_2018,NoDai_2018,VonCSH_2018,DTThuan_2018,GiaVon_2018,DThuTC_2018,LNThuan_2018,TongLN_2018,LNsauthue_2018,Status
TER0112,0.57335,SC,8.183561644,Male,35000000000,120,16,3357778700,21388612500,18452942600,31302602200,31842664400,1,51555652900,1.29E+11,1.19E+11,64708400,5146594200,27170371700,27170371700,4753198900,7874557700,17188452000,28212614500,14509951500,1,51850723300,1.58E+11,1.50E+11,25763900,2753756100,5689501400,4739315700,20636036819,7484379586,4806347512,25888942230,1,1,63204659050,1.57E+11,1.34E+11,207419495,13449206637,9867457805,6529887220,9197829916,470902059,4437408171,23255021833,1,1,42447185504,1518744115,673509506,765194653,-2891497041,-5508873546,-5508873546,TER
ACT1307,0.57335,LLC1,8.287671233,Male,7900000000,100,42,7996481300,1199111500,1666540100,700381800,3817219400,11673000,8281319600,4962235600,4646312400,1,100321000,100321000,80256800,8984689300,1587370600,470425500,1136436600,4324675600,114415300,8384059400,7965443300,7223147100,1,143377900,143377900,114702300,8814857641,2149531973,2621095345,1184391182,6795328430,1,8451918074,7590963163,6373021491,1,151819265,151819265,151819265,8172569843,1695122167,1516900011,1213213909,4214958537,1,8510172408,7991549902,6796412381,1,127237301,127237301,101789841,ACT
TER1166,0.57335,LLC1,8.098630137,Female,2000000000,12,25,451264700,2181597600,8138507800,634061900,8424433600,1,3237729100,1.02E+11,97231869800,2127400,1589795000,1589716800,796825400,470410900,7683031600,10534406200,481568900,16449521100,1,3013511100,85537811200,80938771100,1433300,1285186100,1278800600,1015311100,563532298,5125362715,13034371554,604300892,16424085670,1,3128662970,94999460030,89399445368,2525125,1399899684,1399750185,1128662970,6721929876,4885986510,9552823,2051484672,4287890632,8504449996,1264405042,88569631366,86720143128,3957333,-1548649961,-1510510684,-1510510684,TER
TER1878,0.57335,LLC1,7.021917808,Male,3000000000,3,46,3226255300,683853700,209655000,85683300,741300,1,4217548300,3293681000,3121550000,40600,25615000,25615000,23053500,4178531900,4086853700,3372642000,11350000,28142738100,1,4299478200,38004677600,37783845100,378200,102412200,102412200,92171000,3146966515,22369828919,10074186602,779911111,31815376456,1,4573463388,2.55E+11,2.54E+11,3309425,304428091,304428091,273985182,4095955327,1,1,1,1,1,4150645547,94498611042,93749191002,523000,306715325,223102699,178482159,TER
ACT0809,0.57335,LLC1,6.597260274,Female,16000000000,5,46,1366776800,44717874800,10164149700,5113670000,14942120700,45300000000,1438416100,55551526100,53870365900,86100,-316178700,-320117800,-320117800,425247100,68131088400,37102086700,5238375600,20884825300,88850000000,1309005900,35902632600,33594915500,26800,-125910200,-125910200,-125910200,35079685,76997271751,2598262138,5129876780,75795432990,1,8965057364,77541649795,72587417382,55176,2550686,-2507964,-2507964,3644133247,21422268858,33173323968,4380010520,58262025674,1,4435729160,21016313489,23107452388,69788,-4481817204,-4481817204,-4481817204,ACT
TER1410,0.57335,LLC1,6.339726027,Male,500000000,10,45,50459900,1,1798294400,1,2777421000,1,-194548400,11287330000,10698183800,713700,-178847000,-167667000,-167667000,157688300,59605900,1726647400,1,3106548200,1,-399671600,8060454400,7639755400,967100,-203006600,-205123100,-205123100,148409232,41875894,722133786,1,2032712976,1,-459794063,7468781193,7045511916,276433,-60122483,-60122457,-60122457,84349030,95875312,1,1,1469084203,1,-700859861,3089106542,2985167342,215169,-105541789,-111152147,-111152147,TER
TER2284,0.57335,LLC1,5.580821918,Male,1000000000,14,11,655067100,260500,40071900,140249900,1,1,872084600,351231200,332195700,1,-12418400,-12418400,-12418400,618963600,88000,90093600,123249900,5732200,1,834922900,332058500,338446400,5100,-50559400,-50559400,-50559400,624862966,1,79797541,121833322,1707702,1,827351127,63816000,53668720,1,-1876892,-1876892,-1876892,627776091,1,1,1,1,1,708970295,1,1,1,1,-119398322,-119398322,TER
ACT0571,0.57335,LLC2,6.060273973,Female,6000000000,4,46,2703249900,2678062500,751960500,1,131411500,1,6053314100,10126338200,9950732500,221200,67483900,67483900,67483900,3358275300,1104057200,1486339900,1,179992500,1,5897612500,5497641400,5538061400,921000,-155701600,-155701600,-155701600,982263978,1967639080,3201078137,1,522706400,1,5915800743,7770461350,7639907827,71946,18188223,18188223,18188223,410330534,4419265053,2947469869,1,2109981332,1,5917504547,11454774877,11337327831,84048,1703804,1703804,1703804,ACT
TER1572,0.57335,LLC2,5.556164384,Male,500000000,2,46,294813800,1,22860100,1,24420300,1,305605200,733369000,618528600,10600,-87070400,-87070400,-87070400,310485100,9660000,11148500,1,13972100,1,317321400,618943600,484808900,11900,11833800,11716200,11716200,299945944,9660000,24559240,1,12325250,1,321839934,685950500,570136063,4226,4518435,4518435,4518435,308136254,9660000,24484117,1,15978613,1,326301758,748696780,632358747,3166,4461824,4461824,4461824,TER
ACT1410,0.57335,LLC1,5.712328767,Female,8000000000,6,45,219718500,11636110000,1328008400,1,3631750000,3600000000,5952192000,52927620100,52475553300,132100,230987900,230987900,230987900,9743165300,258609600,1,1,3631750000,1,6380754200,20991591500,20513577000,118800,428562200,428562200,428562200,246803140,37897531560,864107817,1,32131750000,1,6879765017,41273418560,40725386134,25871,499010740,499010740,499010740,216848457,38795982343,1,1,31131750000,1,7882877164,9165270400,9457200640,49514,-334372162,-334372162,-334372162,ACT
TER0713,0.57335,LLC1,4.775342466,Male,1000000000,5,47,449210700,2782327900,1,600192700,3000000000,1,885586000,38389406100,38405723800,2724200,-131458000,-131458000,-131458000,317905800,169433600,1,514450900,2556400,1,1037952400,20301183100,19934108500,2093300,157022800,157022800,154466400,936282233,4391080000,1,169128789,4504317254,1,1104008445,57199768145,56543728750,571942,71773241,71773241,65672515,788002112,135682746,1,142791354,1,1,1066476212,17738138523,17608834921,147316,-37532233,-37532233,-37532233,TER
TER0541,0.57335,LLC2,4.410958904,Male,1000000000,5,46,1,1,1,1,1,1,1,1,1,125200,-504086000,-504086000,-504086000,187088800,315000,1,1,1,1,495913900,1,1,14800,-502674500,-502989500,-502989500,34227060,561805,1,1,321000000,1,-237751205,1,1,43177,-230675613,-230675613,-230675613,34227060,561805,1,1,321000000,1,-237751205,1,1,6015,-41690580,-41690580,-41690580,TER
